AMD,CSCO,QCOM
26.36,54.19,68.255
27.41,55.69,69.31
27.35,56.52,77.75
26.68,56.01,76.62
27.5,56.35,81.5
28.01,55.93,82.81
27.58,52.44,86.26
27.32,52.02,86.13
26.24,51.3,83.89
27.96,53.36,85.84
27.21,52.92,83.78
27.09,53.47,84.54
26.66,53.45,85.2
27.42,54.59,88.25
28.22,54.94,89.29
28.29,54.94,87.14
26.81,55.58,86.37
27.63,55.95,86.13
27.69,56.13,87.25
27.88,55.88,86.64
27.66,56.33,85.07
28.46,56.88,86.83
27.97,56.69,86.72
28.18,56.34,81.97
27.68,56.4,79.89
27.49,56.31,79.08
27.93,56.95,70.45
27.33,56.56,57.18
27.85,56.29,56.95
27.79,55.6,55.9
27.83,55.82,56.33
27.24,55.18,57.44
28.53,55.49,57.76
28.98,55.21,57.99
29.09,55.14,57.86
29.02,55.63,57.68
